id,in_users,in_profiles,in_catalog_users,users_count,profiles_count,catalog_users_count
346607350,no,yes,yes,0,2,2
346904544,no,yes,yes,0,1,1
347968100,no,yes,yes,0,1,1
348573382,no,yes,yes,0,1,1
348725338,no,yes,yes,0,1,1
350033143,no,yes,yes,0,1,1
351103686,no,yes,yes,0,1,1
352080027,no,yes,yes,0,1,1
352107141,no,yes,yes,0,1,1
352975667,no,yes,yes,0,1,1
354538089,no,yes,yes,0,1,1
355876671,no,yes,yes,0,1,1
357470409,no,yes,yes,0,1,1
358591834,no,yes,yes,0,2,2
358597990,no,yes,yes,0,1,1
359393422,no,yes,yes,0,2,2
359877416,no,yes,yes,0,1,1
360728324,no,yes,yes,0,1,1
360887949,no,yes,yes,0,1,1
360894429,no,yes,yes,0,1,1
360969959,no,yes,yes,0,1,1
361808612,no,yes,yes,0,1,1
364812256,no,yes,yes,0,1,1
365276579,no,yes,yes,0,1,1
365790277,no,yes,yes,0,1,1
366219636,no,yes,yes,0,1,1
366375436,no,yes,yes,0,1,1
367490018,no,yes,yes,0,1,1
368163456,no,yes,yes,0,1,1
368833438,no,yes,yes,0,1,1
373840777,no,yes,yes,0,1,1
374966480,no,yes,yes,0,2,2
375757786,no,yes,yes,0,1,1
376672164,no,yes,yes,0,1,1
377521760,no,yes,yes,0,1,1
378313295,no,yes,yes,0,1,1
379393263,no,yes,yes,0,1,1
380574973,no,yes,yes,0,1,1
381027757,no,yes,yes,0,1,1
381710812,no,yes,yes,0,1,1
381944156,no,yes,yes,0,1,1
383069703,no,yes,yes,0,1,1
383297400,no,yes,yes,0,1,1
383741895,no,yes,yes,0,2,2
383981989,no,yes,yes,0,1,1
384374061,no,yes,yes,0,2,2
384561580,no,yes,yes,0,1,1
384986820,no,yes,yes,0,2,2
385205627,no,yes,yes,0,1,1
386151135,no,yes,yes,0,1,1
386596371,no,yes,yes,0,1,1
387743337,no,yes,yes,0,1,1
390372572,no,yes,yes,0,1,1
392872173,no,yes,yes,0,1,1
393634578,no,yes,yes,0,2,2
394140489,no,yes,yes,0,2,2
397537602,no,yes,yes,0,1,1
398860588,no,yes,yes,0,1,1
399029006,no,yes,yes,0,1,1
399053643,no,yes,yes,0,1,1
399348378,no,yes,yes,0,1,1
399421621,no,yes,yes,0,2,2
400312934,no,yes,yes,0,1,1
400425645,no,yes,yes,0,1,1
401820145,no,yes,yes,0,1,1
402937331,no,yes,yes,0,1,1
403068223,no,yes,yes,0,2,2
403372343,no,yes,yes,0,1,1
403996225,no,yes,yes,0,1,1
404065343,no,yes,yes,0,1,1
405023164,no,yes,yes,0,2,2
405278326,no,yes,yes,0,1,1
407524588,no,yes,yes,0,2,2
407550318,no,yes,yes,0,2,2
410063785,no,yes,yes,0,2,2
411417294,no,yes,yes,0,2,2
411707416,no,yes,yes,0,1,1
411771054,no,yes,yes,0,1,1
413405164,no,yes,yes,0,1,1
413919702,no,yes,yes,0,1,1
414584218,no,yes,yes,0,1,1
414991803,no,yes,yes,0,1,1
415461948,no,yes,yes,0,1,1
416661676,no,yes,yes,0,2,2
417092787,no,yes,yes,0,1,1
417559463,no,yes,yes,0,1,1
417706919,no,yes,yes,0,1,1
420086170,no,yes,yes,0,1,1
421106009,no,yes,yes,0,1,1
421372208,no,yes,yes,0,1,1
423022306,no,yes,yes,0,1,1
423166880,no,yes,yes,0,1,1
424239186,no,yes,yes,0,1,1
425520938,no,yes,yes,0,1,1
427051505,no,yes,yes,0,1,1
429821996,no,yes,yes,0,1,1
431202426,no,yes,yes,0,1,1
432668078,no,yes,yes,0,1,1
432948783,no,yes,yes,0,1,1
434635529,no,yes,yes,0,1,1
434970679,no,yes,yes,0,2,2
436623346,no,yes,yes,0,1,1
437390529,no,yes,yes,0,1,1
437543453,no,yes,yes,0,1,1
437678244,no,yes,yes,0,1,1
437740341,no,yes,yes,0,1,1
439182587,no,yes,yes,0,2,2
439316917,no,yes,yes,0,2,2
439398294,no,yes,yes,0,1,1
439786865,no,yes,yes,0,1,1
440842136,no,yes,yes,0,1,1
